Original Part,Alternative Part,Similarity Score
A263,A275,0.9278
A263,A256,0.9223
A263,A245,0.9137
A264,A265,0.9367
A264,A252,0.8317
A264,A266,0.8036
A264,A89,0.789
A264,A90,0.7817
A265,A264,0.9367
A265,A252,0.8943
A265,A266,0.8458
A265,A242,0.824
A265,A270,0.8119
A266,A242,0.9822
A266,A275,0.9324
A266,A271,0.9236
A266,A256,0.9228
A266,A274,0.9212
A267,A6,0.9166
A267,A5,0.8978
A267,A255,0.8713
A267,A249,0.848
A267,A256,0.8386
A268,A275,0.9203
A268,A256,0.9134
A268,A271,0.9066
A268,A245,0.9052
A268,A266,0.9049
A269,A275,0.9178
A269,A256,0.911
A269,A271,0.9054
A269,A274,0.9035
A269,A266,0.9035
A270,A243,0.9239
A270,A271,0.9228
A270,A255,0.9059
A270,A276,0.9054
A270,A233,0.9031
A271,A243,0.986
A271,A275,0.9347
A271,A256,0.9284
A271,A266,0.9236
A271,A274,0.9229
A272,A275,0.9175
A272,A256,0.9124
A272,A245,0.905
A272,A271,0.9038
A272,A274,0.9015
A273,A272,0.8955
A273,A275,0.8877
A273,A256,0.8812
A273,A271,0.8766
A273,A274,0.8753
A274,A275,0.9322
A274,A256,0.925
A274,A271,0.9229
A274,A266,0.9212
A274,A245,0.9162
A275,A256,0.995
A275,A245,0.9891
A275,A271,0.9347
A275,A266,0.9324
A275,A274,0.9322
A276,A277,0.9354
A276,A270,0.9054
A276,A255,0.8844
A276,A260,0.8817
A276,A258,0.8738
A277,A260,0.9422
A277,A276,0.9354
A277,A275,0.9113
A277,A256,0.9041
A277,A271,0.8993
A278,A247,0.9873
A278,A263,0.9537
A278,A275,0.9309
A278,A256,0.9253
A278,A245,0.9173
A279,A284,0.8987
A279,A281,0.8977
A279,A280,0.8899
A279,A290,0.8837
A279,A383,0.8836
A280,A281,0.9014
A280,A284,0.9008
A280,A279,0.8899
A280,A290,0.8878
A280,A283,0.8795
A281,A284,0.9943
A281,A280,0.9014
A281,A290,0.9004
A281,A279,0.8977
A281,A282,0.8969
A282,A281,0.8969
A282,A284,0.8965
A282,A290,0.8814
A282,A280,0.8794
A282,A283,0.8786
A283,A284,0.8972
A283,A281,0.8959
A283,A290,0.8823
A283,A280,0.8795
A283,A282,0.8786
A284,A281,0.9943
A284,A290,0.9051
A284,A280,0.9008
A284,A279,0.8987
A284,A283,0.8972
A285,A289,0.9606
A285,A248,0.8941
A285,A323,0.8758
A285,A365,0.8571
A285,A456,0.8554
A286,A287,0.9363
A286,A292,0.9331
A286,A288,0.9163
A286,A270,0.8717
A286,A234,0.869
A287,A286,0.9363
A287,A292,0.9324
A287,A288,0.9157
A287,A321,0.8803
A287,A255,0.8181
A288,A286,0.9163
A288,A287,0.9157
A288,A292,0.9127
A288,A219,0.8832
A288,A239,0.8741
A289,A285,0.9606
A289,A248,0.9002
A289,A300,0.8896
A289,A456,0.8875
A289,A461,0.8858
A290,A284,0.9051
A290,A281,0.9004
A290,A280,0.8878
A290,A279,0.8837
A290,A283,0.8823
A291,A292,0.8533
A291,A331,0.8456
A291,A286,0.8161
A291,A287,0.812
A291,A308,0.8056
A292,A286,0.9331
A292,A287,0.9324
A292,A288,0.9127
A292,A331,0.8816
A292,A291,0.8533
A293,A295,0.9371
A293,A299,0.925
A293,A306,0.9244
A293,A308,0.9174
A293,A324,0.916
A294,A316,0.9472
A294,A309,0.934
A294,A296,0.9302
A294,A329,0.9203
A294,A307,0.9188
A295,A233,0.9408
A295,A293,0.9371
A295,A299,0.9266
A295,A306,0.9243
A295,A308,0.9197
A296,A320,0.9406
A296,A309,0.9401
A296,A294,0.9302
A296,A329,0.9225
A296,A307,0.9196
A297,A327,0.9301
A297,A299,0.9098
A297,A295,0.9032
A297,A293,0.9004
A297,A306,0.8895
A298,A309,0.9141
A298,A296,0.9105
A298,A328,0.908
A298,A294,0.9065
A298,A329,0.9007
A299,A308,0.9474
A299,A409,0.932
A299,A295,0.9266
A299,A293,0.925
A299,A408,0.924
A300,A323,0.9304
A300,A315,0.9264
A300,A289,0.8896
A300,A285,0.8545
A300,A248,0.8048
A301,A331,0.9112
A301,A409,0.8862
A301,A408,0.8822
A301,A303,0.8803
A301,A93,0.8715
A302,A332,0.9092
A302,A304,0.8867
A302,A309,0.8734
A302,A329,0.8651
A302,A296,0.8647
A303,A408,0.9253
A303,A409,0.8947
A303,A235,0.884
A303,A301,0.8803
A303,A299,0.8792
A304,A302,0.8867
A304,A309,0.8779
A304,A329,0.8713
A304,A296,0.8688
A304,A294,0.8671
A305,A311,0.907
A305,A310,0.8586
A305,A217,0.7726
A305,A121,0.7702
A305,A406,0.7678
A306,A293,0.9244
A306,A295,0.9243
A306,A299,0.9193
A306,A324,0.9163
A306,A308,0.9155
A307,A309,0.9336
A307,A329,0.9204
A307,A296,0.9196
A307,A294,0.9188
A307,A325,0.9172
A308,A299,0.9474
A308,A341,0.9336
A308,A295,0.9197
A308,A409,0.9188
A308,A293,0.9174
A309,A329,0.9807
A309,A296,0.9401
A309,A294,0.934
A309,A307,0.9336
A309,A325,0.9303
A310,A311,0.859
A310,A305,0.8586
A310,A217,0.7855
A310,A121,0.7823
A310,A240,0.7737
A311,A305,0.907
A311,A310,0.859
A311,A217,0.7746
A311,A121,0.7704
A311,A343,0.7564
A312,A320,0.9065
A312,A329,0.8833
A312,A322,0.8825
A312,A316,0.8819
A312,A319,0.8744
A313,A299,0.909
A313,A306,0.8986
A313,A295,0.8958
A313,A293,0.8938
A313,A110,0.8908
A314,A309,0.9154
A314,A307,0.9063
A314,A296,0.904
A314,A329,0.9028
A314,A330,0.9021
A315,A300,0.9264
A315,A323,0.8898
A315,A289,0.8077
A315,A285,0.8024
A315,A456,0.7814
A316,A294,0.9472
A316,A322,0.9261
A316,A319,0.9168
A316,A329,0.9085
A316,A328,0.9074
A317,A318,1.0
A317,A321,0.9261
A317,A331,0.9231
A317,A327,0.9041
A317,A306,0.9028
A318,A318,1.0
A318,A321,0.9261
A318,A331,0.9231
A318,A327,0.9041
A318,A306,0.9028
A319,A322,0.9172
A319,A316,0.9168
A319,A329,0.9008
A319,A328,0.8955
A319,A320,0.8945
A320,A296,0.9406
A320,A312,0.9065
A320,A316,0.9065
A320,A329,0.9037
A320,A322,0.9035
A321,A331,0.9341
A321,A317,0.9261
A321,A318,0.9261
A321,A327,0.9146
A321,A295,0.9138
A322,A316,0.9261
A322,A319,0.9172
A322,A329,0.9103
A322,A328,0.9045
A322,A320,0.9035
A323,A300,0.9304
A323,A315,0.8898
A323,A289,0.883
A323,A285,0.8758
A323,A248,0.822
A324,A295,0.9174
A324,A306,0.9163
A324,A293,0.916
A324,A299,0.9115
A324,A308,0.9088
A325,A309,0.9303
A325,A329,0.9181
A325,A307,0.9172
A325,A296,0.9165
A325,A294,0.9145
A326,A327,0.8811
A326,A328,0.8491
A326,A320,0.8209
A326,A298,0.8097
A326,A297,0.808
A327,A297,0.9301
A327,A321,0.9146
A327,A331,0.9116
A327,A295,0.9044
A327,A317,0.9041
A328,A298,0.908
A328,A316,0.9074
A328,A322,0.9045
A328,A319,0.8955
A328,A309,0.8894
A329,A309,0.9807
A329,A332,0.9386
A329,A330,0.9253
A329,A296,0.9225
A329,A307,0.9204
A330,A329,0.9253
A330,A332,0.9128
A330,A309,0.9074
A330,A314,0.9021
A330,A307,0.8968
A331,A321,0.9341
A331,A317,0.9231
A331,A318,0.9231
A331,A295,0.9118
A331,A327,0.9116
A332,A329,0.9386
A332,A309,0.9203
A332,A330,0.9128
A332,A302,0.9092
A332,A296,0.9085
A333,A339,0.8609
A333,A335,0.8455
A333,A521,0.7266
A333,A505,0.7036
A333,A132,0.7024
A334,A338,0.8845
A334,A343,0.8725
A334,A240,0.8526
A334,A238,0.8423
A334,A228,0.7827
A335,A333,0.8455
A335,A339,0.8441
A335,A132,0.6969
A335,A521,0.6942
A335,A486,0.6933
A336,A340,0.9
A336,A222,0.4636
A336,A228,0.4627
A336,A226,0.4626
A336,A230,0.4533
A337,A341,0.8838
A337,A297,0.8597
A337,A327,0.8535
A337,A233,0.8146
A337,A308,0.8117
A338,A226,0.897
A338,A334,0.8845
A338,A343,0.8712
A338,A240,0.85
A338,A238,0.8376
A339,A333,0.8609
A339,A335,0.8441
A339,A132,0.7193
A339,A495,0.6993
A339,A523,0.6984
A340,A340,0.9
A340,A222,0.4636
A340,A228,0.4627
A340,A226,0.4626
A340,A230,0.4533
A341,A308,0.9336
A341,A299,0.9237
A341,A337,0.8838
A341,A295,0.8781
A341,A409,0.8759
A342,A342,0.9
A342,A576,0.4262
A342,A372,0.2021
A342,A374,0.2003
A342,A368,0.1979
A343,A230,0.9202
A343,A334,0.8725
A343,A338,0.8712
A343,A240,0.8482
A343,A238,0.8397
A344,A348,0.9189
A344,A352,0.9173
A344,A350,0.9052
A344,A346,0.8821
A344,A280,0.834
A345,A355,0.9275
A345,A353,0.9144
A345,A351,0.914
A345,A349,0.9076
A345,A347,0.9055
A346,A352,0.8832
A346,A344,0.8821
A346,A348,0.881
A346,A350,0.877
A346,A281,0.7974
A347,A351,0.9225
A347,A353,0.9216
A347,A349,0.9163
A347,A345,0.9055
A347,A355,0.9021
A348,A344,0.9189
A348,A352,0.9169
A348,A350,0.9096
A348,A346,0.881
A348,A290,0.8304
A349,A353,0.9246
A349,A351,0.9228
A349,A347,0.9163
A349,A345,0.9076
A349,A355,0.9059
A350,A352,0.9113
A350,A348,0.9096
A350,A344,0.9052
A350,A346,0.877
A350,A284,0.7398
A351,A353,0.9327
A351,A349,0.9228
A351,A347,0.9225
A351,A345,0.914
A351,A355,0.9102
A352,A344,0.9173
A352,A348,0.9169
A352,A350,0.9113
A352,A346,0.8832
A352,A282,0.8441
A353,A351,0.9327
A353,A349,0.9246
A353,A347,0.9216
A353,A345,0.9144
A353,A355,0.9109
A354,A289,0.7986
A354,A456,0.798
A354,A461,0.7964
A354,A285,0.7937
A354,A450,0.7914
A355,A345,0.9275
A355,A353,0.9109
A355,A351,0.9102
A355,A349,0.9059
A355,A347,0.9021
A356,A217,0.6608
A356,A62,0.6582
A356,A61,0.6559
A356,A103,0.6133
A356,A121,0.6066
A357,A378,0.9294
A357,A361,0.9028
A357,A360,0.8949
A357,A358,0.8948
A357,A359,0.8917
A358,A380,0.928
A358,A361,0.8999
A358,A360,0.8981
A358,A357,0.8948
A358,A359,0.892
A359,A383,0.9278
A359,A361,0.8993
A359,A360,0.8928
A359,A358,0.892
A359,A357,0.8917
A360,A361,0.9022
A360,A358,0.8981
A360,A357,0.8949
A360,A359,0.8928
A360,A363,0.8795
A361,A399,0.9143
A361,A397,0.9141
A361,A357,0.9028
A361,A360,0.9022
A361,A358,0.8999
A362,A361,0.8975
A362,A363,0.8795
A362,A357,0.8789
A362,A360,0.8788
A362,A358,0.8764
A363,A361,0.8971
A363,A357,0.8829
A363,A360,0.8795
A363,A362,0.8795
A363,A358,0.8789
A364,A372,0.7457
A364,A368,0.7261
A364,A370,0.724
A364,A374,0.7221
A364,A366,0.7079
A365,A367,0.9617
A365,A369,0.9611
A365,A373,0.9573
A365,A371,0.9543
A365,A375,0.9515
A366,A372,0.7135
A366,A364,0.7079
A366,A370,0.6956
A366,A374,0.6943
A366,A368,0.6925
A367,A369,0.9977
A367,A373,0.9628
A367,A365,0.9617
A367,A375,0.9582
A367,A371,0.9579
A368,A364,0.7261
A368,A372,0.7254
A368,A374,0.7084
A368,A370,0.7053
A368,A366,0.6925
A369,A367,0.9977
A369,A373,0.9622
A369,A365,0.9611
A369,A375,0.9608
A369,A371,0.9589
A370,A372,0.7259
A370,A364,0.724
A370,A368,0.7053
A370,A374,0.704
A370,A366,0.6956
A371,A369,0.9589
A371,A367,0.9579
A371,A365,0.9543
A371,A373,0.9521
A371,A375,0.9491
A372,A364,0.7457
A372,A370,0.7259
A372,A368,0.7254
A372,A374,0.725
A372,A366,0.7135
A373,A367,0.9628
A373,A369,0.9622
A373,A365,0.9573
A373,A375,0.9533
A373,A371,0.9521
A374,A372,0.725
A374,A364,0.7221
A374,A368,0.7084
A374,A370,0.704
A374,A366,0.6943
A375,A369,0.9608
A375,A367,0.9582
A375,A373,0.9533
A375,A365,0.9515
A375,A371,0.9491
A376,A469,0.739
A376,A324,0.7295
A376,A325,0.7263
A376,A98,0.7182
A376,A304,0.7104
A377,A403,0.833
A377,A394,0.8328
A377,A382,0.832
A377,A392,0.8315
A377,A379,0.8276
A378,A357,0.9294
A378,A397,0.9263
A378,A399,0.9226
A378,A404,0.9181
A378,A380,0.9178
A379,A384,0.8472
A379,A386,0.8461
A379,A377,0.8276
A379,A394,0.8276
A379,A403,0.8276
A380,A358,0.928
A380,A397,0.9267
A380,A399,0.9207
A380,A378,0.9178
A380,A383,0.9157
A381,A98,0.7084
A381,A243,0.6821
A381,A233,0.6713
A381,A114,0.6698
A381,A270,0.6648
A382,A394,0.8324
A382,A403,0.8321
A382,A377,0.832
A382,A392,0.8316
A382,A379,0.8269
A383,A359,0.9278
A383,A399,0.9265
A383,A397,0.923
A383,A380,0.9157
A383,A378,0.9152
A384,A379,0.8472
A384,A401,0.8461
A384,A394,0.8268
A384,A403,0.8267
A384,A377,0.8267
A385,A387,0.9285
A385,A402,0.9193
A385,A393,0.9151
A385,A391,0.9143
A385,A389,0.9129
A386,A379,0.8461
A386,A403,0.8212
A386,A377,0.8212
A386,A394,0.8212
A386,A382,0.8209
A387,A385,0.9285
A387,A391,0.9269
A387,A402,0.9269
A387,A393,0.9268
A387,A389,0.9242
A388,A390,0.8391
A388,A394,0.8208
A388,A382,0.8208
A388,A403,0.8207
A388,A377,0.8205
A389,A387,0.9242
A389,A402,0.9223
A389,A385,0.9129
A389,A391,0.9124
A389,A393,0.9115
A390,A388,0.8391
A390,A403,0.8207
A390,A394,0.8207
A390,A377,0.8206
A390,A382,0.82
A391,A387,0.9269
A391,A393,0.9153
A391,A402,0.9145
A391,A385,0.9143
A391,A389,0.9124
A392,A382,0.8316
A392,A377,0.8315
A392,A394,0.8315
A392,A403,0.8314
A392,A379,0.8264
A393,A387,0.9268
A393,A402,0.916
A393,A391,0.9153
A393,A385,0.9151
A393,A389,0.9115
A394,A403,0.8329
A394,A377,0.8328
A394,A382,0.8324
A394,A392,0.8315
A394,A379,0.8276
A395,A397,0.9289
A395,A399,0.9266
A395,A404,0.9204
A395,A378,0.9158
A395,A380,0.9119
A396,A394,0.82
A396,A403,0.8199
A396,A377,0.8197
A396,A382,0.8195
A396,A392,0.8188
A397,A399,0.9951
A397,A404,0.9302
A397,A395,0.9289
A397,A380,0.9267
A397,A378,0.9263
A398,A400,0.9
A398,A403,0.8221
A398,A394,0.822
A398,A377,0.8219
A398,A382,0.8218
A399,A397,0.9951
A399,A404,0.9281
A399,A395,0.9266
A399,A383,0.9265
A399,A406,0.9259
A400,A400,0.9
A400,A403,0.8221
A400,A394,0.822
A400,A377,0.8219
A400,A382,0.8218
A401,A384,0.8461
A401,A394,0.8205
A401,A403,0.8204
A401,A377,0.8203
A401,A382,0.82
A402,A387,0.9269
A402,A389,0.9223
A402,A385,0.9193
A402,A393,0.916
A402,A391,0.9145
A403,A377,0.833
A403,A394,0.8329
A403,A382,0.8321
A403,A392,0.8314
A403,A379,0.8276
A404,A397,0.9302
A404,A399,0.9281
A404,A395,0.9204
A404,A378,0.9181
A404,A380,0.914
A405,A394,0.818
A405,A403,0.8178
A405,A382,0.8177
A405,A377,0.8176
A405,A392,0.816
A406,A399,0.9259
A406,A397,0.9208
A406,A404,0.9112
A406,A383,0.9099
A406,A395,0.9091
A407,A408,0.8615
A407,A293,0.8488
A407,A242,0.8438
A407,A303,0.8388
A407,A467,0.8373
A408,A409,0.965
A408,A303,0.9253
A408,A299,0.924
A408,A308,0.892
A408,A301,0.8822
A409,A408,0.965
A409,A299,0.932
A409,A308,0.9188
A409,A295,0.8994
A409,A293,0.8986
A410,A412,0.8952
A410,A411,0.879
A410,A257,0.7091
A410,A286,0.6674
A410,A292,0.6671
A411,A412,0.8966
A411,A410,0.879
A411,A263,0.6782
A411,A292,0.6678
A411,A286,0.6673
A412,A411,0.8966
A412,A410,0.8952
A412,A286,0.6752
A412,A266,0.6736
A412,A242,0.6734
A413,A414,0.9227
A413,A422,0.8923
A413,A424,0.8276
A413,A415,0.7686
A413,A416,0.7686
A414,A413,0.9227
A414,A422,0.9008
A414,A415,0.8489
A414,A416,0.8489
A414,A424,0.833
A415,A416,1.0
A415,A423,0.8788
A415,A420,0.8734
A415,A414,0.8489
A415,A422,0.8217
A416,A416,1.0
A416,A423,0.8788
A416,A420,0.8734
A416,A414,0.8489
A416,A422,0.8217
A417,A425,0.8026
A417,A589,0.686
A417,A616,0.6774
A417,A646,0.676
A417,A628,0.6713
A418,A419,1.0
A418,A420,0.8875
A418,A423,0.79
A418,A415,0.7639
A418,A416,0.7639
A419,A419,1.0
A419,A420,0.8875
A419,A423,0.79
A419,A415,0.7639
A419,A416,0.7639
A420,A423,0.902
A420,A418,0.8875
A420,A419,0.8875
A420,A415,0.8734
A420,A416,0.8734
A421,A600,0.5674
A421,A607,0.5588
A421,A610,0.5499
A421,A605,0.5482
A421,A957,0.5432
A422,A414,0.9008
A422,A413,0.8923
A422,A423,0.8818
A422,A415,0.8217
A422,A416,0.8217
A423,A420,0.902
A423,A422,0.8818
A423,A415,0.8788
A423,A416,0.8788
A423,A418,0.79
A424,A414,0.833
A424,A413,0.8276
A424,A422,0.8163
A424,A423,0.769
A424,A420,0.7646
A425,A417,0.8026
A425,A799,0.7034
A425,A797,0.7027
A425,A812,0.7025
A425,A807,0.7024
A426,A431,0.9962
A426,A429,0.943
A426,A427,0.9169
A426,A424,0.7186
A426,A414,0.7031
A427,A431,0.9216
A427,A426,0.9169
A427,A429,0.9081
A427,A424,0.7075
A427,A423,0.6914
A428,A430,0.924
A428,A562,0.6846
A428,A564,0.6831
A428,A566,0.679
A428,A540,0.6525
A429,A431,0.9477
A429,A426,0.943
A429,A427,0.9081
A429,A122,0.7311
A429,A424,0.7131
A430,A428,0.924
A430,A564,0.6914
A430,A562,0.6882
A430,A566,0.6861
A430,A567,0.6661
A431,A426,0.9962
A431,A429,0.9477
A431,A427,0.9216
A431,A424,0.7197
A431,A414,0.701
A432,A76,0.5042
A432,A71,0.502
A432,A73,0.4954
A432,A70,0.493
A432,A69,0.4768
A433,A436,0.924
A433,A437,0.9148
A433,A434,0.8933
A433,A435,0.8887
A433,A440,0.8592
A434,A435,0.918
A434,A436,0.8955
A434,A433,0.8933
A434,A437,0.8789
A434,A440,0.8698
A435,A434,0.918
A435,A436,0.8914
A435,A433,0.8887
A435,A437,0.8801
A435,A440,0.8717
A436,A433,0.924
A436,A437,0.9158
A436,A434,0.8955
A436,A435,0.8914
A436,A440,0.8554
A437,A436,0.9158
A437,A433,0.9148
A437,A435,0.8801
A437,A434,0.8789
A437,A440,0.8577
A438,A94,0.6435
A438,A355,0.6151
A438,A351,0.6141
A438,A349,0.6129
A438,A347,0.6097
A439,A434,0.7973
A439,A435,0.7921
A439,A437,0.7767
A439,A433,0.7729
A439,A436,0.7722
A440,A435,0.8717
A440,A434,0.8698
A440,A433,0.8592
A440,A437,0.8577
A440,A436,0.8554
A441,A45,0.474
A441,A33,0.4738
A441,A51,0.4731
A441,A48,0.4722
A441,A25,0.4717
A442,A441,0.433
A442,A4,0.3757
A442,A2,0.3743
A442,A291,0.3579
A442,A99,0.3562
A443,A444,1.0
A443,A449,0.9144
A443,A448,0.9144
A443,A446,0.9075
A443,A447,0.9075
A444,A444,1.0
A444,A449,0.9144
A444,A448,0.9144
A444,A446,0.9075
A444,A447,0.9075
A445,A443,0.9021
A445,A444,0.9021
A445,A448,0.8908
A445,A449,0.8908
A445,A447,0.8877
A446,A447,1.0
A446,A443,0.9075
A446,A444,0.9075
A446,A449,0.8996
A446,A448,0.8996
A447,A447,1.0
A447,A443,0.9075
A447,A444,0.9075
A447,A448,0.8996
A447,A449,0.8996
A448,A449,1.0
A448,A443,0.9144
A448,A444,0.9144
A448,A446,0.8996
A448,A447,0.8996
A449,A448,1.0
A449,A443,0.9144
A449,A444,0.9144
A449,A446,0.8996
A449,A447,0.8996
A450,A456,0.9583
A450,A461,0.9575
A450,A451,0.9532
A450,A452,0.9391
A450,A289,0.8485
A451,A461,0.9578
A451,A456,0.957
A451,A450,0.9532
A451,A452,0.9377
A451,A289,0.8478
A452,A456,0.9481
A452,A461,0.9479
A452,A450,0.9391
A452,A451,0.9377
A452,A289,0.8333
A453,A454,0.8135
A453,A119,0.6877
A453,A455,0.676
A453,A460,0.6725
A453,A462,0.6699
A454,A453,0.8135
A454,A250,0.7572
A454,A249,0.7433
A454,A4,0.7159
A454,A119,0.7109
A455,A457,0.8196
A455,A462,0.8183
A455,A460,0.8124
A455,A465,0.7993
A455,A463,0.7962
A456,A461,0.9985
A456,A450,0.9583
A456,A451,0.957
A456,A452,0.9481
A456,A289,0.8875
A457,A462,0.839
A457,A465,0.8253
A457,A460,0.8216
A457,A455,0.8196
A457,A463,0.8149
A458,A478,0.9608
A458,A473,0.9011
A458,A459,0.9006
A458,A477,0.8739
A458,A254,0.8651
A459,A473,0.9045
A459,A458,0.9006
A459,A477,0.877
A459,A475,0.8616
A459,A474,0.8613
A460,A462,0.8357
A460,A457,0.8216
A460,A455,0.8124
A460,A465,0.8103
A460,A463,0.8069
A461,A456,0.9985
A461,A451,0.9578
A461,A450,0.9575
A461,A452,0.9479
A461,A289,0.8858
A462,A465,0.847
A462,A457,0.839
A462,A460,0.8357
A462,A463,0.8303
A462,A455,0.8183
A463,A462,0.8303
A463,A465,0.8181
A463,A457,0.8149
A463,A460,0.8069
A463,A455,0.7962
A464,A477,0.8777
A464,A475,0.8648
A464,A474,0.864
A464,A472,0.8635
A464,A467,0.8626
A465,A462,0.847
A465,A457,0.8253
A465,A463,0.8181
A465,A460,0.8103
A465,A455,0.7993
A466,A477,0.8976
A466,A475,0.8826
A466,A474,0.8822
A466,A472,0.882
A466,A467,0.88
A467,A477,0.9207
A467,A472,0.909
A467,A475,0.9087
A467,A474,0.9039
A467,A479,0.8962
A468,A477,0.9058
A468,A475,0.8913
A468,A472,0.8906
A468,A474,0.8903
A468,A467,0.8895
A469,A477,0.9076
A469,A475,0.8931
A469,A472,0.8922
A469,A474,0.8917
A469,A467,0.8909
A470,A477,0.8787
A470,A475,0.8664
A470,A472,0.8656
A470,A474,0.8654
A470,A467,0.8642
A471,A477,0.888
A471,A475,0.8753
A471,A472,0.875
A471,A474,0.8745
A471,A467,0.8728
A472,A477,0.9222
A472,A475,0.9102
A472,A467,0.909
A472,A474,0.9055
A472,A479,0.8976
A473,A474,0.9571
A473,A459,0.9045
A473,A458,0.9011
A473,A477,0.8807
A473,A472,0.8661
A474,A473,0.9571
A474,A477,0.9215
A474,A475,0.9059
A474,A472,0.9055
A474,A467,0.9039
A475,A477,0.9229
A475,A472,0.9102
A475,A467,0.9087
A475,A474,0.9059
A475,A479,0.8984
A476,A477,0.8972
A476,A475,0.8838
A476,A474,0.8827
A476,A472,0.8826
A476,A467,0.8821
A477,A475,0.9229
A477,A472,0.9222
A477,A474,0.9215
A477,A467,0.9207
A477,A478,0.9137
A478,A458,0.9608
A478,A477,0.9137
A478,A475,0.8982
A478,A472,0.8974
A478,A474,0.8969
A479,A477,0.9136
A479,A475,0.8984
A479,A472,0.8976
A479,A474,0.8973
A479,A467,0.8962
A480,A321,0.8935
A480,A409,0.8652
A480,A474,0.8471
A480,A408,0.8349
A480,A327,0.8309
A481,A482,0.9394
A481,A121,0.8184
A481,A310,0.7566
A481,A311,0.7431
A481,A305,0.7384
A482,A481,0.9394
A482,A217,0.8059
A482,A240,0.7693
A482,A310,0.7597
A482,A284,0.7578
A483,A249,0.8586
A483,A250,0.8077
A483,A303,0.7827
A483,A246,0.7806
A483,A255,0.7739
A484,A493,0.8857
A484,A237,0.7845
A484,A11,0.7527
A484,A241,0.7286
A484,A234,0.7201
A485,A520,0.987
A485,A522,0.8426
A485,A494,0.8422
A485,A514,0.8349
A485,A489,0.8326
A486,A488,0.9197
A486,A521,0.9159
A486,A499,0.9117
A486,A531,0.9062
A486,A525,0.9054
A487,A522,0.8385
A487,A494,0.834
A487,A524,0.8222
A487,A506,0.8216
A487,A491,0.821
A488,A486,0.9197
A488,A499,0.9103
A488,A531,0.9024
A488,A523,0.9017
A488,A525,0.9017
A489,A514,0.9901
A489,A494,0.8556
A489,A522,0.8516
A489,A504,0.8443
A489,A491,0.8432
A490,A511,0.9621
A490,A515,0.9487
A490,A531,0.9262
A490,A523,0.9261
A490,A521,0.9251
A491,A524,0.9924
A491,A522,0.8578
A491,A494,0.8537
A491,A506,0.8476
A491,A489,0.8432
A492,A525,0.953
A492,A523,0.9255
A492,A531,0.9249
A492,A521,0.9232
A492,A490,0.9227
A493,A484,0.8857
A493,A13,0.8148
A493,A115,0.7847
A493,A17,0.7835
A493,A241,0.7772
A494,A522,0.9868
A494,A496,0.8618
A494,A489,0.8556
A494,A506,0.8539
A494,A491,0.8537
A495,A523,0.9477
A495,A531,0.9257
A495,A497,0.9243
A495,A525,0.9239
A495,A490,0.9228
A496,A530,0.9853
A496,A494,0.8618
A496,A522,0.8475
A496,A489,0.8337
A496,A524,0.8323
A497,A531,0.9534
A497,A523,0.9258
A497,A495,0.9243
A497,A525,0.9241
A497,A490,0.9224
A498,A522,0.7595
A498,A506,0.7548
A498,A494,0.7543
A498,A487,0.75
A498,A528,0.75
A499,A486,0.9117
A499,A488,0.9103
A499,A523,0.8952
A499,A531,0.895
A499,A525,0.8944
A500,A522,0.8354
A500,A524,0.8233
A500,A494,0.8229
A500,A516,0.8217
A500,A504,0.8214
A501,A523,0.9188
A501,A521,0.9184
A501,A531,0.9183
A501,A525,0.9182
A501,A505,0.9175
A502,A522,0.8406
A502,A494,0.8361
A502,A524,0.83
A502,A530,0.8257
A502,A514,0.8251
A503,A523,0.9216
A503,A531,0.9215
A503,A525,0.9209
A503,A521,0.9197
A503,A505,0.919
A504,A522,0.86
A504,A514,0.8493
A504,A516,0.8483
A504,A520,0.8482
A504,A489,0.8443
A505,A523,0.9253
A505,A531,0.9249
A505,A521,0.9249
A505,A525,0.9244
A505,A515,0.9232
A506,A522,0.8577
A506,A494,0.8539
A506,A491,0.8476
A506,A489,0.8426
A506,A524,0.8399
A507,A490,0.9234
A507,A523,0.9233
A507,A531,0.9232
A507,A525,0.9218
A507,A521,0.9207
A508,A522,0.8519
A508,A494,0.8383
A508,A530,0.8357
A508,A516,0.8334
A508,A524,0.8331
A509,A523,0.924
A509,A531,0.9237
A509,A525,0.9233
A509,A521,0.9229
A509,A515,0.9216
A510,A522,0.8367
A510,A494,0.8255
A510,A528,0.8244
A510,A524,0.8232
A510,A516,0.8211
A511,A490,0.9621
A511,A523,0.9221
A511,A531,0.9219
A511,A525,0.9214
A511,A521,0.9208
A512,A522,0.8344
A512,A524,0.8237
A512,A494,0.8225
A512,A516,0.8213
A512,A528,0.8213
A513,A523,0.9199
A513,A531,0.9198
A513,A525,0.9195
A513,A521,0.9192
A513,A517,0.9178
A514,A489,0.9901
A514,A522,0.8588
A514,A520,0.8523
A514,A494,0.8517
A514,A504,0.8493
A515,A490,0.9487
A515,A521,0.9257
A515,A523,0.9256
A515,A531,0.9251
A515,A525,0.9248
A516,A522,0.8606
A516,A504,0.8483
A516,A514,0.8481
A516,A494,0.8479
A516,A520,0.847
A517,A523,0.9259
A517,A525,0.9258
A517,A531,0.9257
A517,A521,0.9257
A517,A515,0.924
A518,A522,0.8445
A518,A494,0.83
A518,A524,0.8299
A518,A516,0.8295
A518,A528,0.827
A519,A531,0.9646
A519,A523,0.9269
A519,A525,0.9257
A519,A521,0.9254
A519,A517,0.9233
A520,A485,0.987
